entry_time,exit_time,entry_price,exit_price,gross_return,capital_at_entry,capital_at_exit,trade_return,asset
2024-09-26 00:00:00+00:00,2024-10-02 00:00:00+00:00,147.97,145.12,-0.019260660944786068,124404.21752785276,121825.09790883647,-0.020731769953368784,SOL
2024-11-06 00:00:00+00:00,2024-12-02 00:00:00+00:00,166.63,236.79,0.42105263157894735,121642.36026197323,172600.90586750882,0.41892105263157897,SOL
2025-09-17 00:00:00+00:00,2025-09-22 00:00:00+00:00,236.96,236.16,-0.003376097231600318,172342.00450870756,171502.52090268067,-0.004871033085752874,SOL
2022-03-21 00:00:00+00:00,2022-03-31 00:00:00+00:00,0.8057,0.8613,0.06900831575027924,9985.0,10658.036960717389,0.06740480327665388,XRP
2022-09-12 00:00:00+00:00,2022-10-16 00:00:00+00:00,0.3551,0.4818,0.3568009011546043,10642.049905276313,14417.484187258757,0.3547656998028723,XRP
2022-11-04 00:00:00+00:00,2022-11-08 00:00:00+00:00,0.4548,0.4647,0.021767810026385268,14395.85796097787,14687.160425845903,0.02023515831134559,XRP
2023-03-27 00:00:00+00:00,2023-04-19 00:00:00+00:00,0.4479,0.5325,0.18888144675150692,14665.129685207135,17408.94794605211,0.18709812458137987,XRP
2023-06-09 00:00:00+00:00,2023-06-14 00:00:00+00:00,0.5237,0.5193,-0.00840175673095297,17382.83452413303,17210.932994901104,-0.009889154095856556,XRP
2023-11-05 00:00:00+00:00,2023-11-16 00:00:00+00:00,0.6149,0.6482,0.05415514717840299,17185.116595408752,18088.605445240264,0.052573914457635595,XRP
2024-11-21 00:00:00+00:00,2024-12-21 00:00:00+00:00,1.1042,2.2793,1.0642093823582683,18061.472537072405,37226.737078625716,1.0611130682847314,XRP
2025-03-02 00:00:00+00:00,2025-03-09 00:00:00+00:00,2.1917,2.3262,0.06136788794086785,37170.89697300778,39392.81841848921,0.05977583610895665,XRP
