rebalance_date,entry_date,exit_date,n_long,n_short,weighted_return,turnover_frac,cost,capital_before,capital_after,net_pnl
2024-02-08 00:00:00+00:00,2024-02-09 00:00:00+00:00,2024-02-16 00:00:00+00:00,11,11,-0.02808756118069461,0.09090909090909091,5.062037994405162,18560.805979485594,18034.416167979387,-526.3898115062075
2024-02-15 00:00:00+00:00,2024-02-16 00:00:00+00:00,2024-02-23 00:00:00+00:00,11,11,0.13031389898185208,0.13636363636363638,7.377715705082478,18034.416167979387,20377.17353898505,2342.757371005664
2024-02-22 00:00:00+00:00,2024-02-23 00:00:00+00:00,2024-03-01 00:00:00+00:00,11,11,0.09493228388652021,0.09090909090909091,5.557410965177741,20377.17353898505,22306.06775122769,1928.8942122426379
2024-02-29 00:00:00+00:00,2024-03-01 00:00:00+00:00,2024-03-08 00:00:00+00:00,11,11,0.07261200552366044,0.18181818181818185,12.166946046124197,22306.06775122769,23913.589119944856,1607.5213687171672
2024-03-07 00:00:00+00:00,2024-03-08 00:00:00+00:00,2024-03-15 00:00:00+00:00,11,11,0.05644355549420404,0.09090909090909091,6.521887941803143,23913.589119944856,25256.835226560255,1343.2461066153992
2024-03-14 00:00:00+00:00,2024-03-15 00:00:00+00:00,2024-03-22 00:00:00+00:00,11,11,-0.027026886105688375,0.27272727272727276,20.664683367185667,25256.835226560255,24553.55693413469,-703.2782924255662
2024-03-21 00:00:00+00:00,2024-03-22 00:00:00+00:00,2024-03-29 00:00:00+00:00,11,11,0.007222284462690741,0.13636363636363638,10.044636927600555,24553.55693413469,24720.845069956285,167.28813582159637
2024-03-28 00:00:00+00:00,2024-03-29 00:00:00+00:00,2024-04-05 00:00:00+00:00,11,11,0.023214370127887983,0.09090909090909091,6.742048655442623,24720.845069956285,25287.98186862898,567.1367986726946
2024-04-04 00:00:00+00:00,2024-04-05 00:00:00+00:00,2024-04-12 00:00:00+00:00,11,11,0.038984647137601136,0.045454545454545456,3.448361163903952,25287.98186862898,26270.376557435633,982.394688806653
2024-04-11 00:00:00+00:00,2024-04-12 00:00:00+00:00,2024-04-19 00:00:00+00:00,11,11,-0.023142131518503393,0.09090909090909091,7.164648152027901,26270.376557435633,25655.25939995082,-615.1171574848122
2024-04-18 00:00:00+00:00,2024-04-19 00:00:00+00:00,2024-04-26 00:00:00+00:00,11,11,0.006562202119295049,0.09090909090909091,6.996888927259315,25655.25939995082,25816.61750862898,161.35810867815962
2024-04-25 00:00:00+00:00,2024-04-26 00:00:00+00:00,2024-05-03 00:00:00+00:00,11,11,-0.0024940376087803154,0.18181818181818185,14.081791368343083,25816.61750862898,25738.14810226262,-78.46940636635918
2024-05-02 00:00:00+00:00,2024-05-03 00:00:00+00:00,2024-05-10 00:00:00+00:00,11,11,-0.003913842598737849,0.09090909090909091,7.019494936980715,25738.14810226262,25630.393546870382,-107.75455539223913
2024-05-09 00:00:00+00:00,2024-05-10 00:00:00+00:00,2024-05-17 00:00:00+00:00,11,11,0.0015158344666707825,0.045454545454545456,3.495053665482325,25630.393546870382,25665.749927137582,35.35638026719971
