date,nasdaq,sma200_prior,risk_on_signal_close,risk_on_actionable
1996-12-20 00:00:00+00:00,1288.56,1184.9726,True,True
1996-12-23 00:00:00+00:00,1279.52,1186.09675,True,True
1996-12-24 00:00:00+00:00,1287.63,1187.09185,True,True
1996-12-26 00:00:00+00:00,1294.57,1188.1647500000001,True,True
1996-12-27 00:00:00+00:00,1291.38,1189.1943999999999,True,True
1996-12-30 00:00:00+00:00,1287.75,1190.19595,True,True
1996-12-31 00:00:00+00:00,1291.03,1191.1367500000001,True,True
1997-01-02 00:00:00+00:00,1280.7,1192.0198,True,True
1997-01-03 00:00:00+00:00,1310.68,1192.8608,True,True
1997-01-06 00:00:00+00:00,1316.4,1193.9051,True,True
1997-01-07 00:00:00+00:00,1327.73,1194.9881500000001,True,True
1997-01-08 00:00:00+00:00,1320.35,1196.1157,True,True
1997-01-09 00:00:00+00:00,1326.2,1197.282,True,True
1997-01-10 00:00:00+00:00,1332.02,1198.47125,True,True
1997-01-13 00:00:00+00:00,1330.91,1199.6619500000002,True,True
1997-01-14 00:00:00+00:00,1346.36,1200.84235,True,True
1997-01-15 00:00:00+00:00,1333.53,1202.0671499999999,True,True
1997-01-16 00:00:00+00:00,1340.58,1203.20195,True,True
1997-01-17 00:00:00+00:00,1349.05,1204.3484,True,True
1997-01-20 00:00:00+00:00,1364.28,1205.5144,True,True
1997-01-21 00:00:00+00:00,1376.97,1206.74475,True,True
1997-01-22 00:00:00+00:00,1388.06,1208.1013,True,True
1997-01-23 00:00:00+00:00,1378.37,1209.49585,True,True
1997-01-24 00:00:00+00:00,1363.83,1210.8612999999998,True,True
1997-01-27 00:00:00+00:00,1352.81,1212.19475,True,True
1997-01-28 00:00:00+00:00,1354.37,1213.4541,True,True
1997-01-29 00:00:00+00:00,1355.17,1214.67375,True,True
1997-01-30 00:00:00+00:00,1371.02,1215.825,True,True
1997-01-31 00:00:00+00:00,1379.85,1217.07575,True,True
1997-02-03 00:00:00+00:00,1376.05,1218.2935,True,True
1997-02-04 00:00:00+00:00,1373.75,1219.4802499999998,True,True
1997-02-05 00:00:00+00:00,1348.44,1220.5815,True,True
1997-02-06 00:00:00+00:00,1346.4,1221.4899,True,True
1997-02-07 00:00:00+00:00,1357.71,1222.33775,True,True
1997-02-10 00:00:00+00:00,1335.34,1223.20545,True,True
1997-02-11 00:00:00+00:00,1331.51,1223.9477,True,True
1997-02-12 00:00:00+00:00,1358.96,1224.66425,True,True
1997-02-13 00:00:00+00:00,1370.81,1225.5064499999999,True,True
1997-02-14 00:00:00+00:00,1367.19,1226.3622,True,True
1997-02-18 00:00:00+00:00,1365.79,1227.3065,True,True
1997-02-19 00:00:00+00:00,1365.58,1228.21245,True,True
1997-02-20 00:00:00+00:00,1347.4,1229.1088,True,True
1997-02-21 00:00:00+00:00,1334.32,1229.93245,True,True
1997-02-24 00:00:00+00:00,1345.08,1230.6869,True,True
1997-02-25 00:00:00+00:00,1347.69,1231.4732,True,True
1997-02-26 00:00:00+00:00,1340.55,1232.19785,True,True
1997-02-27 00:00:00+00:00,1312.66,1232.79125,True,True
1997-02-28 00:00:00+00:00,1309.0,1233.1821,True,True
1997-03-03 00:00:00+00:00,1311.18,1233.5593,True,True
1997-03-04 00:00:00+00:00,1317.37,1233.9186499999998,True,True
1997-03-05 00:00:00+00:00,1329.09,1234.2961,True,True
1997-03-06 00:00:00+00:00,1315.43,1234.701,True,True
1997-03-07 00:00:00+00:00,1311.8,1235.05605,True,True
1997-03-10 00:00:00+00:00,1322.72,1235.3781499999998,True,True
1997-03-11 00:00:00+00:00,1316.76,1235.7485,True,True
1997-03-12 00:00:00+00:00,1304.13,1236.0933,True,True
1997-03-13 00:00:00+00:00,1293.28,1236.43245,True,True
1997-03-14 00:00:00+00:00,1292.97,1236.7707,True,True
1997-03-17 00:00:00+00:00,1279.43,1237.06815,True,True
1997-03-18 00:00:00+00:00,1269.34,1237.2481500000001,True,True
1997-03-19 00:00:00+00:00,1249.29,1237.4012,True,True
1997-03-20 00:00:00+00:00,1259.26,1237.4292500000001,True,True
1997-03-21 00:00:00+00:00,1254.07,1237.4798,True,True
1997-03-24 00:00:00+00:00,1242.64,1237.58755,True,True
