strategy,coin,timeframe,regime,status,periods,total_return,annualized_return,sharpe,max_drawdown,win_rate,profit_factor,total_trades,average_trade_duration_bars,calmar
dca,BNB,1d,Bear Trend,completed_historical_backtest,571,-0.2564520556062868,-0.1726665810929785,0.2511094982824559,0.6924806133021286,,,16.0,,-0.24934500371008111
dca,BNB,1d,Bull Trend,completed_historical_backtest,652,12.444238514527301,3.2875114391457885,2.2909097329454826,0.4487223165575689,,,16.0,,7.326382749060391
dca,BNB,1d,Crash/Capitulation,completed_historical_backtest,32,0.604453912305337,219.60635819298864,3.6809666067018796,0.23368356469054397,,,0.0,,939.759535437603
dca,BNB,1d,High Vol Expansion,completed_historical_backtest,64,1.987179186822769,514.6214151089272,3.5546748011294858,0.36893768143351613,,,0.0,,1394.8735545508755
dca,BNB,1d,Range/Chop,completed_historical_backtest,1810,-0.03509630869573721,-0.0071836210942825,0.2681328716806016,0.7241005135966525,,,67.0,,-0.009920751276091499
dca,BNB,1d,Unavailable,completed_historical_backtest,1,0.0,0.0,,0.0,,,1.0,,
funding_arbitrage,BNB,8h,Overall,completed_historical_backtest,7079,-0.6439241191869844,-0.14771704060476143,-5.823908618424259,0.649963589795467,0.0924092409240924,0.17632355683093157,303.0,3.5445544554455446,-0.2272697162178663
funding_arbitrage,BNB,8h,Bear Trend,completed_historical_backtest,1311,-0.13613061678170546,-0.11512378463084394,-5.9859593253756715,0.13613061678170546,0.05555555555555555,0.03904090307838065,36.0,3.1944444444444446,-0.845686204562289
funding_arbitrage,BNB,8h,Bull Trend,completed_historical_backtest,1538,-0.29607024698955675,-0.22129658903477167,-7.157472774712131,0.30800973315760605,0.07476635514018691,0.23877515945360814,107.0,3.588785046728972,-0.7184727143721008
funding_arbitrage,BNB,8h,Crash/Capitulation,completed_historical_backtest,72,-0.020073868846133824,-0.26553073527454174,-8.195897541914466,0.026288075341029615,0.14285714285714285,0.056213532917809436,7.0,2.857142857142857,-10.100805472818681
funding_arbitrage,BNB,8h,High Vol Expansion,completed_historical_backtest,192,7.559588459926658e-05,0.00043150484094867103,0.0325716593347081,0.04581021291507126,0.21428571428571427,0.6005447181991656,14.0,4.214285714285714,0.00941940265042315
funding_arbitrage,BNB,8h,Range/Chop,completed_historical_backtest,3966,-0.40249852113499895,-0.13262758088789672,-5.831854062684256,0.40249852113499895,0.10071942446043165,0.13713210257438388,139.0,3.568345323741007,-0.3295107284218148
