coin,regime,strategy,sharpe,max_drawdown,total_return,sharpe_rank
DOGE,Range/Chop,contrarian,-0.5201376191429047,0.4532705973530464,-0.43593761047463386,4.0
DOGE,Range/Chop,statistical_arbitrage,-0.6093012073996642,0.7562355831994922,-0.5962091652488695,5.0
DOGE,Range/Chop,momentum,-0.9813511224832105,0.8273910815042341,-0.8060292808396534,6.0
DOGE,Range/Chop,mean_reversion,-1.0965306213699706,0.9766795589968476,-0.9633164192340127,7.0
DOGE,Range/Chop,grid,-1.748332008038641,0.9517020389587258,-0.9503506746517975,8.0
DOGE,Range/Chop,funding_arbitrage,-2.62190855312355,0.1158657265978903,-0.11138562691099874,9.0
ETH,Bear Trend,trend_following,0.7004300893845229,0.5560358761360478,0.8481155480469982,1.0
ETH,Bear Trend,breakout,0.590423011289731,0.5973628398983615,0.5317111217770196,2.0
ETH,Bear Trend,contrarian,0.1681345792364778,0.3402482709470056,0.027896254266441378,3.0
ETH,Bear Trend,statistical_arbitrage,-0.17463843183992925,0.4734027945665692,-0.27593910719429393,4.0
ETH,Bear Trend,dca,-0.26127656926577697,0.7649539816376801,-0.6998229746709816,5.0
ETH,Bear Trend,momentum,-0.6183825395409434,0.3589467459242166,-0.21739745920103126,6.0
ETH,Bear Trend,mean_reversion,-1.5066050079762443,0.9135098190868365,-0.8789322939725305,7.0
ETH,Bear Trend,grid,-1.9998784158586713,0.745631145543012,-0.7330766629785863,8.0
ETH,Bear Trend,funding_arbitrage,-2.1037415183838046,0.02065363175909718,-0.02065363175909718,9.0
ETH,Bull Trend,trend_following,1.760087307511431,0.33947710434265377,4.201194600442408,1.0
ETH,Bull Trend,dca,1.2152644395029775,0.4495493832600167,2.567929967099469,2.0
ETH,Bull Trend,breakout,0.4641280167276516,0.4581593807745262,0.22794880684924657,3.0
ETH,Bull Trend,statistical_arbitrage,0.20082200735174777,0.4834212835241657,0.015493445288393692,4.0
ETH,Bull Trend,momentum,0.04538118786024662,0.16755072964991513,-0.0075812434700637255,5.0
ETH,Bull Trend,contrarian,-0.8245359513398337,0.46284363900268055,-0.4000810750602848,6.0
ETH,Bull Trend,mean_reversion,-2.011375703921564,0.8752316507995233,-0.8554362021354105,7.0
ETH,Bull Trend,grid,-2.5501048209547785,0.721165083365142,-0.7076359913230053,8.0
ETH,Bull Trend,funding_arbitrage,-2.865905090330301,0.14155673206104236,-0.12409242350835503,9.0
ETH,Crash/Capitulation,momentum,4.247448062312873,0.02994000091237925,0.1408318338647503,1.0
ETH,Crash/Capitulation,grid,2.4147332049411405,0.1871955171768308,0.2175580954610281,2.0
ETH,Crash/Capitulation,trend_following,2.173548001882869,0.26656892820318856,0.30419972517260807,3.0
ETH,Crash/Capitulation,mean_reversion,0.5075587736315725,0.2780359702553782,-0.005019067599750016,4.0
ETH,Crash/Capitulation,dca,-0.19153273963483147,0.3970065188043822,-0.14398294053636962,5.0
ETH,Crash/Capitulation,contrarian,-0.8176978332457415,0.14674771238103534,-0.07919383493737864,6.0
ETH,Crash/Capitulation,statistical_arbitrage,-3.6047125892810414,0.3365662247019384,-0.26048283300071906,7.0
ETH,Crash/Capitulation,breakout,-3.913430582776234,0.5736820541357102,-0.44453869769015364,8.0
ETH,Crash/Capitulation,funding_arbitrage,-6.741482559042364,0.01317417226777784,-0.01317417226777784,9.0
ETH,High Vol Expansion,momentum,2.009073154858619,0.06109063429576589,0.061614017611791194,1.0
ETH,High Vol Expansion,dca,1.964048805609488,0.3308154014141449,0.26194677694852153,2.0
ETH,High Vol Expansion,trend_following,1.6967906701970026,0.15008627771188643,0.13561419341964642,3.0
ETH,High Vol Expansion,statistical_arbitrage,1.1144431073046457,0.12497310356352909,0.05944932519124135,4.0
ETH,High Vol Expansion,grid,-0.896594853924357,0.20996515855799824,-0.095599475780769,5.0
ETH,High Vol Expansion,mean_reversion,-1.1306619932712738,0.3108006326209328,-0.12258970761539201,6.0
ETH,High Vol Expansion,contrarian,-1.719449321685589,0.3933664253574113,-0.2460487268935475,7.0
