entry_time,exit_time,entry_price,exit_price,gross_return,capital_at_entry,capital_at_exit,trade_return,asset,note
2025-04-26 00:00:00+00:00,2025-06-05 00:00:00+00:00,1784.6,2607.68,0.461212596660316,62939.38263820324,91829.86700886073,0.4590207777653257,ETH,
2025-07-03 00:00:00+00:00,2025-08-01 00:00:00+00:00,2570.41,3698.39,0.43883271540337926,91692.12220834744,131731.73074036787,0.4366744663302744,ETH,
2025-08-09 00:00:00+00:00,2025-08-19 00:00:00+00:00,4009.51,4312.99,0.07569004691346312,131534.13314425733,141277.72291588888,0.07407651184309305,ETH,
2025-10-06 00:00:00+00:00,2025-10-10 00:00:00+00:00,4514.32,4368.09,-0.03239247550018598,141065.80633151505,136291.59115252347,-0.03384388678693562,ETH,
2026-01-03 00:00:00+00:00,2026-01-20 00:00:00+00:00,3125.46,3189.56,0.02050898107798529,136087.1537657947,138669.8453833933,0.01897821760636842,ETH,
2026-03-04 00:00:00+00:00,2026-03-22 00:00:00+00:00,1982.81,2084.86,0.051467361976185406,138461.84061531821,145369.72412672648,0.049890160933221184,ETH,
2026-04-11 00:00:00+00:00,2026-04-29 00:00:00+00:00,2245.06,2289.42,0.019758937400336796,145151.6695405364,147797.68272410342,0.01822929899423631,ETH,
2026-07-15 00:00:00+00:00,2026-07-27 00:00:00+00:00,1891.87,1892.53,0.00034886117967940813,147575.98620001727,147406.02852805637,-0.0011516621120901682,ETH,forced_close_at_sample_end
2021-12-26 00:00:00+00:00,2021-12-29 00:00:00+00:00,193.03,177.28,-0.08159353468372792,9985.0,9156.533123348703,-0.08297114438170228,SOL,
2022-03-24 00:00:00+00:00,2022-04-08 00:00:00+00:00,94.88,118.47,0.24862984822934237,9142.798323663681,11398.846926942768,0.24675690345699852,SOL,
2022-08-12 00:00:00+00:00,2022-08-18 00:00:00+00:00,42.78,40.54,-0.05236091631603557,11381.748656552354,10769.611182815042,-0.05378237494156146,SOL,
2023-01-06 00:00:00+00:00,2023-02-05 00:00:00+00:00,13.43,24.34,0.8123603871928519,10753.456766040821,19459.90535956109,0.8096418466120625,SOL,
2023-02-20 00:00:00+00:00,2023-02-28 00:00:00+00:00,24.83,22.68,-0.08658880386629073,19430.71550152175,17721.61073834682,-0.08795892066049138,SOL,
2023-04-12 00:00:00+00:00,2023-04-21 00:00:00+00:00,22.99,22.19,-0.03479773814702032,17695.0283222393,17053.662438137642,-0.03624554153979975,SOL,
2023-06-29 00:00:00+00:00,2023-07-24 00:00:00+00:00,15.98,24.76,0.5494367959949938,17028.081944480437,26344.36082490098,0.5471126408010016,SOL,
2023-10-01 00:00:00+00:00,2023-10-11 00:00:00+00:00,21.37,22.11,0.034627983153954066,26304.84428366363,27174.90439640314,0.033076041179223026,SOL,
2023-10-19 00:00:00+00:00,2024-01-03 00:00:00+00:00,23.41,106.72,3.558735583084152,27134.14203980854,123511.8327650848,3.5518974797095266,SOL,
2024-03-02 00:00:00+00:00,2024-04-05 00:00:00+00:00,129.43,184.0,0.4216178629374951,123326.56501593717,175060.2629296766,0.41948543614308886,SOL,
2024-05-17 00:00:00+00:00,2024-06-02 00:00:00+00:00,159.36,166.14,0.042545180722891394,174797.6725352821,181961.1193965816,0.04098136295180699,SOL,
2024-07-19 00:00:00+00:00,2024-07-31 00:00:00+00:00,159.22,179.16,0.12523552317548045,181688.17771748675,204135.3287211728,0.12354766989071742,SOL,
2024-09-20 00:00:00+00:00,2024-10-02 00:00:00+00:00,142.88,145.12,0.015677491601343848,203829.12572809105,206714.11815210027,0.014153975363941917,SOL,
2024-10-22 00:00:00+00:00,2024-11-03 00:00:00+00:00,166.16,166.16,0.0,206404.04697487212,206094.44090440983,-0.0014999999999999458,SOL,
2024-11-07 00:00:00+00:00,2024-12-02 00:00:00+00:00,186.59,236.79,0.2690390696178787,205785.29924305322,260757.8603154024,0.2671355110134521,SOL,
2025-01-18 00:00:00+00:00,2025-01-28 00:00:00+00:00,219.52,234.9,0.07006195335276966,260366.7235249293,278190.6119760016,0.06845686042274024,SOL,
2025-07-10 00:00:00+00:00,2025-07-30 00:00:00+00:00,157.06,181.47,0.15541831147332227,277773.3260580376,320462.97078525694,0.15368518400611242,SOL,
2025-08-13 00:00:00+00:00,2025-09-22 00:00:00+00:00,191.77,236.16,0.23147520467226357,319982.27632907906,393459.1638749987,0.2296279918652553,SOL,
2026-01-03 00:00:00+00:00,2026-01-19 00:00:00+00:00,132.28,137.87,0.04225884487450864,392868.97512918623,408856.95745887,0.04069545660719709,SOL,
2026-04-16 00:00:00+00:00,2026-04-29 00:00:00+00:00,84.9,84.06,-0.009893992932862231,408243.67202268174,403598.20524877845,-0.01137915194346284,SOL,
2026-05-08 00:00:00+00:00,2026-05-16 00:00:00+00:00,88.43,89.23,0.00904670360737303,402992.80794090533,406028.60658360436,0.007533133551961946,SOL,
2021-12-23 00:00:00+00:00,2021-12-29 00:00:00+00:00,0.9538,0.8516,-0.10715034598448307,9985.0,8901.73113965192,-0.10848962046550625,XRP,
2022-02-07 00:00:00+00:00,2022-02-21 00:00:00+00:00,0.6825,0.7769,0.13831501831501838,8888.378542942442,10102.598121724492,0.13660754578754575,XRP,
