date,copper,sma12_prior,change3_prior,risk_on_signal,risk_on_actionable
2002-03-01 00:00:00+00:00,1607.3925,1539.8700539732265,127.07431818181999,True,True
2002-04-01 00:00:00+00:00,1588.57142857143,1528.6395047308024,134.54544117646992,True,True
2002-05-01 00:00:00+00:00,1597.02272727273,1522.1894385932367,80.34415584416001,True,True
2002-06-01 00:00:00+00:00,1650.59444444444,1514.8704991992975,35.65522727272992,True,True
2002-07-01 00:00:00+00:00,1588.2847826087,1518.2142822680798,43.20194444443996,True,True
2002-08-01 00:00:00+00:00,1482.91666666667,1523.3404762733508,-0.2866459627300628,False,True
2002-09-01 00:00:00+00:00,1478.93333333333,1524.7159181925433,-114.10606060606005,False,False
2002-10-01 00:00:00+00:00,1486.17173913043,1528.9855819352333,-171.6611111111099,False,False
2002-11-01 00:00:00+00:00,1581.03571428571,1538.0518862830593,-102.1130434782699,False,False
2002-12-01 00:00:00+00:00,1592.96428571429,1550.2804306553533,98.11904761903997,True,False
2003-01-01 00:00:00+00:00,1650.311363636364,1560.2901995629165,114.03095238096012,True,True
2003-02-01 00:00:00+00:00,1682.145,1572.1305404720079,164.13962450593385,True,True
2003-03-01 00:00:00+00:00,1655.692857142857,1582.1953321386745,101.10928571429008,True,True
2003-04-01 00:00:00+00:00,1587.8675,1586.2203619005793,62.728571428566966,True,True
2003-05-01 00:00:00+00:00,1651.1,1586.1617011862934,-62.44386363636386,False,True
2003-06-01 00:00:00+00:00,1685.107142857143,1590.6681405802326,-31.045000000000073,False,False
2003-07-01 00:00:00+00:00,1712.826086956522,1593.5441987812912,29.414285714285825,True,False
2003-08-01 00:00:00+00:00,1756.725,1603.922640810276,124.95858695652191,True,True
2003-09-01 00:00:00+00:00,1789.670454545455,1626.7400019213874,105.625,True,True
2003-10-01 00:00:00+00:00,1925.582608695652,1652.6347620223976,104.56331168831207,True,True
2003-11-01 00:00:00+00:00,2053.275,1689.2523344861663,212.75652173913,True,True
2003-12-01 00:00:00+00:00,2202.035714285714,1728.6056082956902,296.5500000000002,True,True
2004-01-01 00:00:00+00:00,2421.47619047619,1779.3615606766423,412.36525974025926,True,True
2004-02-01 00:00:00+00:00,2751.7175,1843.6252962466278,495.89358178053794,True,True
2004-03-01 00:00:00+00:00,3000.282608695652,1932.7563379132946,698.4425000000001,True,True
2004-04-01 00:00:00+00:00,2926.975,2044.8054838760272,798.2468944099378,True,True
2004-05-01 00:00:00+00:00,2728.460526315789,2156.397775542694,505.49880952381,True,True
