asset,bucket,horizon_hours,sample_count,avg_gross_return,avg_net_return,win_rate_gross,holdout_count_2025_onward,holdout_avg_gross_return
DOGE,le_-5bps,8,11,0.026694217466308644,0.023694217466308641,0.63636363636363635,0,
DOGE,le_-5bps,16,11,0.0050324782872672117,0.002032478287267209,0.63636363636363635,0,
DOGE,le_-5bps,24,11,-0.025463946499705847,-0.02846394649970585,0.54545454545454541,0,
DOGE,-5_to_-1bps,8,101,0.0020291417779125798,-0.00097085822208742181,0.61386138613861385,29,0.0033389663052673982
DOGE,-5_to_-1bps,16,101,0.0020957531143601846,-0.00090424688563981749,0.51485148514851486,29,0.008255227605213156
DOGE,-5_to_-1bps,24,101,0.0054917077992336326,0.0024917077992336308,0.62376237623762376,29,0.0097301179139349051
DOGE,-1_to_+1bps,8,1409,0.00045172186768154134,-0.0025482781323184602,0.51171043293115681,675,-0.00084960717901440069
DOGE,-1_to_+1bps,16,1408,0.00076025953949177959,-0.0022397404605082214,0.51065340909090906,674,-0.0011782582869937174
DOGE,-1_to_+1bps,24,1408,0.0029725620490904212,-2.7437950909580351e-05,0.49076704545454547,674,-0.0024749676301277375
DOGE,+1_to_+5bps,8,1577,0.0018271575517573076,-0.0011728424482426933,0.49080532656943565,196,-0.0016279928472651673
DOGE,+1_to_+5bps,16,1577,0.0026428760284861602,-0.00035712397151384169,0.50856055802155997,196,-0.0023221516842158686
DOGE,+1_to_+5bps,24,1577,0.0036352583168168962,0.00063525831681689475,0.48826886493341787,196,-0.00046173323244731523
DOGE,ge_+5bps,8,154,0.007956418803364158,0.0049564188033641562,0.4935064935064935,0,
DOGE,ge_+5bps,16,154,0.027170683722538922,0.024170683722538919,0.4935064935064935,0,
DOGE,ge_+5bps,24,154,0.031119440745239629,0.028119440745239626,0.47402597402597402,0,
AVAX,le_-5bps,8,46,0.0043800112106376111,0.0013800112106376087,0.5,2,-0.017067990793642629
AVAX,le_-5bps,16,46,0.0096418692162512747,0.0066418692162512711,0.47826086956521741,2,-0.0095019742991043765
AVAX,le_-5bps,24,46,0.015397996016815834,0.012397996016815831,0.52173913043478259,2,0.0045220506927551307
AVAX,-5_to_-1bps,8,398,-0.0015232980271259855,-0.0045232980271259875,0.46482412060301509,144,-0.0014499998470490503
AVAX,-5_to_-1bps,16,398,-0.00013472428239141547,-0.0031347242823914169,0.49497487437185927,144,0.00067863541238798945
AVAX,-5_to_-1bps,24,398,0.0017404936000455266,-0.0012595063999544757,0.51005025125628145,144,0.0023535250254203793
AVAX,-1_to_+1bps,8,1189,-0.00070241043603978641,-0.0037024104360397882,0.4819175777964676,508,-0.00076360986273355891
AVAX,-1_to_+1bps,16,1188,-0.00097353160949185393,-0.0039735316094918552,0.48737373737373735,507,-0.0014231205810160451
AVAX,-1_to_+1bps,24,1188,-0.0012786231565230933,-0.0042786231565230953,0.46717171717171718,507,-0.0018975940075745686
AVAX,+1_to_+5bps,8,1485,0.0019998060559590692,-0.0010001939440409324,0.49629629629629629,246,-0.0016047478540190984
AVAX,+1_to_+5bps,16,1485,0.0039896824146695726,0.00098968241466957014,0.5063973063973064,246,-0.0031514057118285509
AVAX,+1_to_+5bps,24,1485,0.005353810620576098,0.0023538106205760949,0.49494949494949497,246,-0.0038595917821877554
AVAX,ge_+5bps,8,134,-0.0030766967696903577,-0.0060766967696903604,0.45522388059701491,0,
AVAX,ge_+5bps,16,134,-0.0046888069720014813,-0.0076888069720014831,0.46268656716417911,0,
AVAX,ge_+5bps,24,134,-0.0082198917634752917,-0.011219891763475294,0.43283582089552236,0,
LINK,le_-5bps,8,2,0.045657377624590656,0.042657377624590653,1,0,
LINK,le_-5bps,16,2,0.031296931911686032,0.02829693191168603,0.5,0,
LINK,le_-5bps,24,2,0.088492726812398947,0.085492726812398945,0.5,0,
LINK,-5_to_-1bps,8,70,0.00045886788097345067,-0.0025411321190265514,0.48571428571428571,34,-0.0027349252741030628
LINK,-5_to_-1bps,16,70,-0.0050811036799171937,-0.0080811036799171964,0.52857142857142858,34,-0.007555506877660643
LINK,-5_to_-1bps,24,70,-0.0060364618092800023,-0.009036461809280005,0.45714285714285713,34,-0.012013185021380726
LINK,-1_to_+1bps,8,1209,0.00051920873055949827,-0.002480791269440502,0.5053763440860215,533,0.00051010433815685033
LINK,-1_to_+1bps,16,1209,0.001118725536864727,-0.0018812744631352743,0.52357320099255578,533,0.00042332161255769467
LINK,-1_to_+1bps,24,1209,0.0021052152208973964,-0.00089478477910260581,0.52274607113316796,533,0.0014233019379107938
LINK,+1_to_+5bps,8,1816,0.0013014291968628528,-0.0016985708031371483,0.50385462555066074,333,-0.00075029414482579251
LINK,+1_to_+5bps,16,1815,0.0021939702302161347,-0.00080602976978386739,0.50743801652892562,332,0.00046834657679069552
LINK,+1_to_+5bps,24,1815,0.0022195667074201061,-0.00078043329257989605,0.49201101928374658,332,0.00010495148861747384
LINK,ge_+5bps,8,155,-0.001784984911781637,-0.0047849849117816397,0.46451612903225808,0,
LINK,ge_+5bps,16,155,-0.0011422956112528491,-0.0041422956112528511,0.40645161290322579,0,
LINK,ge_+5bps,24,155,0.00068244619748583451,-0.0023175538025141684,0.43870967741935485,0,
