entry_time,exit_time,entry_price,exit_price,gross_return,capital_at_entry,capital_at_exit,trade_return,note,asset
2025-09-13 00:00:00+00:00,2025-09-22 00:00:00+00:00,116029.41,115232.29,-0.006869982360506788,64691.72646466164,64150.92450181122,-0.008359677386965969,,BTC
2025-10-02 00:00:00+00:00,2025-10-11 00:00:00+00:00,118594.99,112774.49,-0.049078801726784575,64054.698115058505,60819.603831170614,-0.05050518352419431,,BTC
2026-05-03 00:00:00+00:00,2026-05-16 00:00:00+00:00,78686.84,79113.2,0.005418440999791078,60728.37442542386,60965.841397952354,0.0039103133382913935,,BTC
2026-07-15 00:00:00+00:00,2026-07-27 00:00:00+00:00,65043.99,63755.86,-0.01980398188979485,60874.39263585543,59579.33401064288,-0.021274275916960073,forced_close_at_sample_end,BTC
2018-11-07 00:00:00+00:00,2018-11-15 00:00:00+00:00,220.77,187.43,-0.15101689541151425,9985.0,8464.380654867056,-0.15229037006839696,,ETH
2019-02-11 00:00:00+00:00,2019-03-04 00:00:00+00:00,125.12,130.6,0.04379795396419429,8451.684083884757,8808.617778479189,0.042232257033248066,,ETH
2019-03-17 00:00:00+00:00,2019-03-26 00:00:00+00:00,140.94,133.97,-0.04945366822761458,8795.40485181147,8347.899158614922,-0.050879487725272954,,ETH
2019-03-30 00:00:00+00:00,2019-04-16 00:00:00+00:00,143.25,159.91,0.11630017452006979,8335.377309877,9290.825970987766,0.11462572425828976,,ETH
2019-05-12 00:00:00+00:00,2019-06-05 00:00:00+00:00,190.2,241.46,0.2695057833859097,9276.889732031284,11759.399568897106,0.26760152471083076,,ETH
2019-06-22 00:00:00+00:00,2019-07-03 00:00:00+00:00,294.25,291.47,-0.009447748513168982,11741.760469543762,11613.381028621356,-0.0109335768903992,,ETH
2019-09-16 00:00:00+00:00,2019-09-25 00:00:00+00:00,189.05,165.72,-0.12340650621528702,11595.960957078425,10149.696513262767,-0.12472139645596403,,ETH
2019-11-07 00:00:00+00:00,2019-11-16 00:00:00+00:00,191.16,179.99,-0.05843272651182249,10134.471968492873,9527.973708906773,-0.059845077422054804,,ETH
2020-01-06 00:00:00+00:00,2020-01-25 00:00:00+00:00,135.37,162.51,0.20048755263352283,9513.681748343413,11403.924933825094,0.1986868213045725,,ETH
2020-01-29 00:00:00+00:00,2020-02-26 00:00:00+00:00,175.58,246.67,0.40488666135095097,11386.819046424356,15973.194408248226,0.4027793313589245,,ETH
2020-05-30 00:00:00+00:00,2020-06-12 00:00:00+00:00,220.63,230.46,0.044554231065584975,15949.234616635855,16634.85074031308,0.042987399718986685,,ETH
