rebalance_date,entry_date,exit_date,n_eligible,n_long,long_names,weighted_return,turnover_frac,cost,capital_before,capital_after,net_pnl
2024-03-13 00:00:00+00:00,2024-03-14 00:00:00+00:00,2024-03-21 00:00:00+00:00,70,7,"FLOKI,AR,FET,JASMY,THETA,GLM,GRT",-0.09480626340879177,0.14285714285714285,712.4020012941301,1662271.3363529702,1503965.2001805122,-158306.13617245806
2024-03-20 00:00:00+00:00,2024-03-21 00:00:00+00:00,2024-03-28 00:00:00+00:00,70,7,"FLOKI,FET,JASMY,AR,THETA,RAY,GLM",0.06473049619489858,0.14285714285714285,644.5565143630766,1503965.2001805122,1600673.0573336938,96707.85715318169
2024-03-27 00:00:00+00:00,2024-03-28 00:00:00+00:00,2024-04-04 00:00:00+00:00,70,7,"FLOKI,AR,FET,BONK,RAY,THETA,DOGE",-0.11356911130457378,0.2857142857142857,1372.0054777145947,1600673.0573336938,1417514.0352454165,-183159.0220882774
2024-04-03 00:00:00+00:00,2024-04-04 00:00:00+00:00,2024-04-11 00:00:00+00:00,70,7,"RAY,PENDLE,FET,JTO,FLOKI,SOL,XEC",0.03774722514502512,0.5714285714285713,2430.0240604207133,1417514.0352454165,1468591.2326196374,51077.19737422094
2024-04-10 00:00:00+00:00,2024-04-11 00:00:00+00:00,2024-04-18 00:00:00+00:00,70,7,"PENDLE,BCH,RAY,JTO,SOL,XEC,LTC",-0.23930802531287848,0.2857142857142857,1258.7924851025464,1468591.2326196374,1115886.7722645232,-352704.4603551142
2024-04-17 00:00:00+00:00,2024-04-18 00:00:00+00:00,2024-04-25 00:00:00+00:00,70,7,"PENDLE,NEO,BCH,SFP,DOGE,JASMY,ONT",0.10845259428232912,0.7142857142857141,2391.185940566835,1115886.7722645232,1234516.4017013784,118629.6294368552
2024-04-24 00:00:00+00:00,2024-04-25 00:00:00+00:00,2024-05-02 00:00:00+00:00,70,7,"PENDLE,ONT,NEO,SFP,JTO,GNO,BNB",-0.1029734809428559,0.4285714285714285,1587.2353736160578,1234516.4017013784,1105806.7151635226,-128709.68653785577
2024-05-01 00:00:00+00:00,2024-05-02 00:00:00+00:00,2024-05-09 00:00:00+00:00,71,7,"SFP,NEO,ONT,TRX,BNB,GNO,BTC",-0.01221245133314589,0.2857142857142857,947.8343272830194,1105806.7151635226,1091354.270143439,-14452.44502008357
2024-05-08 00:00:00+00:00,2024-05-09 00:00:00+00:00,2024-05-16 00:00:00+00:00,71,7,"AR,SFP,ONT,JTO,NEO,BONK,GLM",0.044677687948808456,0.5714285714285713,1870.8930345316094,1091354.270143439,1138242.5626319756,46888.292488536565
2024-05-15 00:00:00+00:00,2024-05-16 00:00:00+00:00,2024-05-23 00:00:00+00:00,71,7,"BONK,AR,GLM,FLOKI,JTO,TRX,CHZ",0.0409074181268672,0.4285714285714285,1463.4547233839685,1138242.5626319756,1183341.6723479747,45099.109715999104
2024-05-22 00:00:00+00:00,2024-05-23 00:00:00+00:00,2024-05-30 00:00:00+00:00,72,7,"BONK,ENS,GLM,AR,FLOKI,RUNE,GRT",0.02525614608450409,0.4285714285714285,1521.4392930188244,1183341.6723479747,1211706.8831996578,28365.21085168305
2024-05-29 00:00:00+00:00,2024-05-30 00:00:00+00:00,2024-06-06 00:00:00+00:00,72,7,"FLOKI,BONK,ENS,JASMY,CHZ,LINK,RUNE",0.07094927306544124,0.4285714285714285,1557.9088498281312,1211706.8831996578,1296118.696881237,84411.8136815792
2024-06-05 00:00:00+00:00,2024-06-06 00:00:00+00:00,2024-06-13 00:00:00+00:00,73,7,"JASMY,ENS,FLOKI,BONK,LINK,1INCH,ETH",-0.1330684336712492,0.2857142857142857,1110.9588830410603,1296118.696881237,1122535.253152189,-173583.4437290479
2024-06-12 00:00:00+00:00,2024-06-13 00:00:00+00:00,2024-06-20 00:00:00+00:00,73,7,"JASMY,ENS,FLOKI,ETH,BONK,GNO,PENDLE",-0.05156578354385821,0.2857142857142857,962.1730741304477,1122535.253152189,1063688.6701936629,-58846.58295852621
2024-06-19 00:00:00+00:00,2024-06-20 00:00:00+00:00,2024-06-27 00:00:00+00:00,74,7,"ENS,JASMY,CVX,LDO,ETH,PENDLE,GNO",-0.07516105973717176,0.2857142857142857,911.7331458802823,1063688.6701936629,982828.9693656039,-80859.700828059
2024-06-26 00:00:00+00:00,2024-06-27 00:00:00+00:00,2024-07-04 00:00:00+00:00,74,7,"JASMY,TRX,CVX,BNB,ENS,1INCH,INJ",-0.04730924111539149,0.5714285714285713,1684.8496617696064,982828.9693656039,934647.2270169252,-48181.74234867864
2024-07-03 00:00:00+00:00,2024-07-04 00:00:00+00:00,2024-07-11 00:00:00+00:00,74,7,"RAY,ENS,TRX,CVX,SFP,INJ,BNB",-0.017023636166403233,0.2857142857142857,801.1261945859359,934647.2270169252,917935.0064856654,-16712.22053125978
2024-07-10 00:00:00+00:00,2024-07-11 00:00:00+00:00,2024-07-18 00:00:00+00:00,74,7,"ENS,TRX,SFP,RAY,EGLD,ZEC,CVX",0.06649517212832108,0.2857142857142857,786.8014341305704,917935.0064856654,978186.4513104109,60251.44482474541
2024-07-17 00:00:00+00:00,2024-07-18 00:00:00+00:00,2024-07-25 00:00:00+00:00,74,7,"ZEC,XRP,RAY,TRX,BONK,ENS,EGLD",0.01946789517309617,0.2857142857142857,838.4455296946378,978186.4513104109,996391.2370745703,18204.785764159402
2024-07-24 00:00:00+00:00,2024-07-25 00:00:00+00:00,2024-08-01 00:00:00+00:00,74,7,"WIF,RAY,ZEC,BONK,SOL,ENS,XRP",-0.035824739590491574,0.2857142857142857,854.049631778203,996391.2370745703,959841.7308443479,-36549.50623022241
2024-07-31 00:00:00+00:00,2024-08-01 00:00:00+00:00,2024-08-08 00:00:00+00:00,74,7,"ZEC,XRP,RAY,JTO,SOL,XEC,BONK",-0.16623231191296986,0.2857142857142857,822.7214835808696,959841.7308443479,799462.2993719645,-160379.43147238332
2024-08-07 00:00:00+00:00,2024-08-08 00:00:00+00:00,2024-08-15 00:00:00+00:00,74,7,"ZEC,JTO,XRP,XLM,SOL,CVX,SFP",0.03532681673203761,0.4285714285714285,1027.8800991925257,799462.2993719645,826676.8774068587,27214.57803489419
2024-08-14 00:00:00+00:00,2024-08-15 00:00:00+00:00,2024-08-22 00:00:00+00:00,74,7,"ZEC,JTO,XRP,CRV,CVX,LUNC,APT",0.008684582730226601,0.4285714285714285,1062.8702709516754,826676.8774068587,832793.3508689124,6116.473462053691
2024-08-21 00:00:00+00:00,2024-08-22 00:00:00+00:00,2024-08-29 00:00:00+00:00,74,7,"ZEC,TRX,CRV,XRP,BNB,XLM,CVX",-0.07834244730314,0.4285714285714285,1070.73430826003,832793.3508689124,766479.5473557992,-66313.80351311318
2024-08-28 00:00:00+00:00,2024-08-29 00:00:00+00:00,2024-09-05 00:00:00+00:00,74,7,"TRX,CRV,ZEC,FET,APT,LUNC,SFP",-0.055298655242756026,0.5714285714285713,1313.964938324227,766479.5473557992,722780.294177623,-43699.25317817624
2024-09-04 00:00:00+00:00,2024-09-05 00:00:00+00:00,2024-09-12 00:00:00+00:00,74,7,"FET,RUNE,TRX,PENDLE,APT,LUNC,DASH",0.06644256552300024,0.4285714285714285,929.2889496569437,722780.294177623,769874.3822825962,47094.0881049732
2024-09-11 00:00:00+00:00,2024-09-12 00:00:00+00:00,2024-09-19 00:00:00+00:00,74,7,"FET,APE,RUNE,PENDLE,DCR,OP,TRX",0.030328688473987925,0.4285714285714285,989.838491506195,769874.3822825962,792233.8240954428,22359.441812846577
2024-09-18 00:00:00+00:00,2024-09-19 00:00:00+00:00,2024-09-26 00:00:00+00:00,75,7,"FET,APE,IMX,DCR,ZRO,THETA,AVAX",0.08434470486302492,0.5714285714285713,1358.1151270207588,792233.8240954428,857696.4370442579,65462.612948815105
2024-09-25 00:00:00+00:00,2024-09-26 00:00:00+00:00,2024-10-03 00:00:00+00:00,75,7,"FET,SEI,PENDLE,IMX,TIA,APE,OP",-0.11950773059894326,0.5714285714285713,1470.3367492187274,857696.4370442579,753724.7455610804,-103971.69148317748
2024-10-02 00:00:00+00:00,2024-10-03 00:00:00+00:00,2024-10-10 00:00:00+00:00,75,7,"WIF,SEI,BONK,PENDLE,FET,CFX,GLM",-0.01736073389676191,0.5714285714285713,1292.0995638189947,753724.7455610804,739347.4312581709,-14377.314302909537
2024-10-09 00:00:00+00:00,2024-10-10 00:00:00+00:00,2024-10-17 00:00:00+00:00,75,7,"WIF,APT,SEI,RUNE,CFX,PENDLE,TWT",0.09899286983210351,0.4285714285714285,950.589554474791,739347.4312581709,811586.9657269362,72239.53446876537
2024-10-16 00:00:00+00:00,2024-10-17 00:00:00+00:00,2024-10-24 00:00:00+00:00,75,7,"APT,WIF,CHZ,SEI,RAY,BONK,ETHFI",-0.005990209711728207,0.5714285714285713,1391.291941246176,811586.9657269362,805334.0976616805,-6252.868065255694
2024-10-23 00:00:00+00:00,2024-10-24 00:00:00+00:00,2024-10-31 00:00:00+00:00,75,7,"APE,RAY,WIF,BONK,DOGE,APT,TWT",0.04507263289766417,0.4285714285714285,1035.4295541364463,805334.0976616805,840597.1962514207,35263.09858974011
2024-10-30 00:00:00+00:00,2024-10-31 00:00:00+00:00,2024-11-07 00:00:00+00:00,75,7,"RAY,DOGE,ZEC,APE,GNO,APT,PENDLE",0.11782206765448675,0.4285714285714285,1080.7678237518264,840597.1962514207,938557.3281545757,97960.13190315501
2024-11-06 00:00:00+00:00,2024-11-07 00:00:00+00:00,2024-11-14 00:00:00+00:00,75,7,"RAY,DOGE,APE,ZEC,GNO,SOL,BTC",0.21886645476392178,0.2857142857142857,804.4777098467791,938557.3281545757,1143171.5654506197,204614.237296044
