date,sp500,sma200_prior,risk_on_signal_close,risk_on_actionable
2022-02-24 00:00:00+00:00,4288.7,4458.4537,False,False
2022-02-25 00:00:00+00:00,4384.65,4459.1367,False,False
2022-02-28 00:00:00+00:00,4373.94,4460.74475,False,False
2022-03-01 00:00:00+00:00,4306.26,4462.051949999999,False,False
2022-03-02 00:00:00+00:00,4386.54,4462.714,False,False
2022-03-03 00:00:00+00:00,4363.49,4463.83025,False,False
2022-03-04 00:00:00+00:00,4328.87,4465.00855,False,False
2022-03-07 00:00:00+00:00,4201.09,4466.0745,False,False
2022-03-08 00:00:00+00:00,4170.7,4466.284350000001,False,False
2022-03-09 00:00:00+00:00,4277.88,4466.35855,False,False
2022-03-10 00:00:00+00:00,4259.52,4466.7627,False,False
2022-03-11 00:00:00+00:00,4204.31,4467.119650000001,False,False
2022-03-14 00:00:00+00:00,4173.11,4467.16125,False,False
2022-03-15 00:00:00+00:00,4262.45,4467.0224,False,False
2022-03-16 00:00:00+00:00,4357.86,4467.3141000000005,False,False
2022-03-17 00:00:00+00:00,4411.67,4468.0932,False,False
2022-03-18 00:00:00+00:00,4463.12,4469.110949999999,False,False
2022-03-21 00:00:00+00:00,4461.18,4470.4623,False,False
2022-03-22 00:00:00+00:00,4511.61,4471.61875,True,False
2022-03-23 00:00:00+00:00,4456.24,4473.0442,False,True
2022-03-24 00:00:00+00:00,4520.16,4474.1891,True,False
2022-03-25 00:00:00+00:00,4543.06,4475.69215,True,True
2022-03-28 00:00:00+00:00,4575.52,4477.21155,True,True
2022-03-29 00:00:00+00:00,4631.6,4478.851949999999,True,True
2022-03-30 00:00:00+00:00,4602.45,4480.734200000001,True,True
2022-03-31 00:00:00+00:00,4530.41,4482.5135,True,True
2022-04-01 00:00:00+00:00,4545.86,4484.04705,True,True
2022-04-04 00:00:00+00:00,4582.64,4485.66705,True,True
2022-04-05 00:00:00+00:00,4525.12,4487.748,True,True
2022-04-06 00:00:00+00:00,4481.15,4489.249650000001,False,True
2022-04-07 00:00:00+00:00,4500.21,4490.4232,True,False
2022-04-08 00:00:00+00:00,4488.28,4491.71505,False,True
2022-04-11 00:00:00+00:00,4412.53,4492.8240000000005,False,False
2022-04-12 00:00:00+00:00,4397.45,4493.48315,False,False
2022-04-13 00:00:00+00:00,4446.59,4494.01735,False,False
2022-04-14 00:00:00+00:00,4392.59,4494.7913,False,False
2022-04-18 00:00:00+00:00,4391.69,4495.26675,False,False
2022-04-19 00:00:00+00:00,4462.21,4495.6255,False,False
2022-04-20 00:00:00+00:00,4459.45,4496.174849999999,False,False
2022-04-21 00:00:00+00:00,4393.66,4496.7544,False,False
