timestamp,kind,gross_spend_usd,fee_slippage_usd,cash_after,strategy,asset,execution_price,reference_open,btc_bought,btc_after,eth_bought,eth_after,sol_bought,sol_after,xrp_bought,xrp_after,btc_sold,eth_sold,sol_sold,xrp_sold,funding_rate,signal_time,planned_exit_time,reference_close
2026-07-22 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,66086.951955000011,65987.970000000001,0.00050271029877044715,0.12483904767073456,,,,,,,,,,,,,,
2026-07-23 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,65731.43948500001,65632.990000000005,0.00050542923785668319,0.12534447690859124,,,,,,,,,,,,,,
2026-07-24 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,65400.133270000006,65302.18,0.00050798965844563399,0.12585246656703689,,,,,,,,,,,,,,
2026-07-25 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,63971.884105000005,63876.07,0.00051933113784168798,0.12637179770487858,,,,,,,,,,,,,,
2026-07-26 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,64576.740030000001,64480.019999999997,0.00051446683971182567,0.1268862645445904,,,,,,,,,,,,,,
2026-07-27 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,65260.724470000008,65162.980000000003,0.00050907481692757614,0.12739533936151798,,,,,,,,,,,,,,
2025-09-30 09:00:00+00:00,daily_eth_dca_buy,33.222591362126245,0.049833887043189369,0,daily_eth_dca,ETH,4175.3736799999997,4169.1199999999999,,,0.0079567947466024757,0.0079567947466024757,,,,,,,,,,,,
2025-10-01 09:00:00+00:00,daily_eth_dca_buy,33.222591362126245,0.049833887043189369,0,daily_eth_dca,ETH,4297.6768599999996,4291.2399999999998,,,0.0077303604818083618,0.015687155228410837,,,,,,,,,,,,
2025-10-02 09:00:00+00:00,daily_eth_dca_buy,33.222591362126245,0.049833887043189369,0,daily_eth_dca,ETH,4394.2114449999999,4387.6300000000001,,,0.0075605354403072526,0.023247690668718089,,,,,,,,,,,,
2025-10-03 09:00:00+00:00,daily_eth_dca_buy,33.222591362126245,0.049833887043189369,0,daily_eth_dca,ETH,4472.9393600000003,4466.2399999999998,,,0.0074274629473461591,0.030675153616064248,,,,,,,,,,,,
2025-10-04 09:00:00+00:00,daily_eth_dca_buy,33.222591362126245,0.049833887043189369,0,daily_eth_dca,ETH,4495.9538300000004,4489.2200000000003,,,0.0073894422892964275,0.038064595905360675,,,,,,,,,,,,
2025-10-05 09:00:00+00:00,daily_eth_dca_buy,33.222591362126245,0.049833887043189369,0,daily_eth_dca,ETH,4594.4112949999999,4587.5299999999997,,,0.0072310877779448446,0.04529568368330552,,,,,,,,,,,,
2025-10-06 09:00:00+00:00,daily_eth_dca_buy,33.222591362126245,0.049833887043189369,0,daily_eth_dca,ETH,4568.4524149999997,4561.6099999999997,,,0.007272176296078646,0.052567859979384166,,,,,,,,,,,,
2025-10-07 09:00:00+00:00,daily_eth_dca_buy,33.222591362126245,0.049833887043189369,0,daily_eth_dca,ETH,4677.3655399999998,4670.3599999999997,,,0.0071028426318218109,0.059670702611205974,,,,,,,,,,,,
2025-10-08 09:00:00+00:00,daily_eth_dca_buy,33.222591362126245,0.049833887043189369,0,daily_eth_dca,ETH,4482.2132500000007,4475.5,,,0.0074120952103575704,0.067082797821563539,,,,,,,,,,,,
2025-10-09 09:00:00+00:00,daily_eth_dca_buy,33.222591362126245,0.049833887043189369,0,daily_eth_dca,ETH,4334.502015,4328.0100000000002,,,0.0076646847197569578,0.074747482541320492,,,,,,,,,,,,
2025-10-10 09:00:00+00:00,daily_eth_dca_buy,33.222591362126245,0.049833887043189369,0,daily_eth_dca,ETH,4352.6391800000001,4346.1199999999999,,,0.0076327464759268753,0.082380229017247369,,,,,,,,,,,,
2025-10-11 09:00:00+00:00,daily_eth_dca_buy,33.222591362126245,0.049833887043189369,0,daily_eth_dca,ETH,3821.0630100000003,3815.3400000000001,,,0.0086945939585869967,0.091074822975834371,,,,,,,,,,,,
